Date,Close
2021-06-07,154.46
2021-06-08,153.78
2021-06-09,153.5
2021-06-10,154
2021-06-11,155.02
2021-06-14,155.1
2021-06-15,155.76
2021-06-16,153.9
2021-06-17,151.7
2021-06-18,152.84
2021-06-21,152.44
2021-06-22,152.9
2021-06-23,153.5
2021-06-24,155.84
2021-06-25,157.5
2021-06-28,159.86
2021-06-29,160.08
2021-06-30,159.44
2021-07-01,159.46
2021-07-02,161.82
2021-07-05,161.9
2021-07-06,161.32
2021-07-07,162.3
2021-07-08,162
2021-07-09,161.4
2021-07-12,164
2021-07-13,165.18
2021-07-14,164
2021-07-15,164
2021-07-16,164
2021-07-19,160.9
2021-07-20,160
2021-07-21,161.5
2021-07-22,162.4
2021-07-23,163.62
2021-07-26,163.64
2021-07-27,162.9
2021-07-28,162.34
2021-07-29,162.48
2021-07-30,164.5
2021-08-02,163.3
2021-08-03,161.5
2021-08-04,162.4
2021-08-05,162.7
2021-08-06,162.8
2021-08-09,162.76
2021-08-10,161.5
2021-08-11,161.6
2021-08-12,162.38
2021-08-13,161.64
2021-08-16,160.2
2021-08-17,162
2021-08-18,161.5
2021-08-19,160.5
2021-08-20,161.56
2021-08-23,160.84
2021-08-24,160.7
2021-08-25,162.5
2021-08-26,162.9
2021-08-27,162.92
2021-08-30,163.1
2021-08-31,162.1
2021-09-01,164.42
2021-09-02,166.18
2021-09-03,163.52
2021-09-06,165.48
2021-09-07,165.4
2021-09-08,162.5
2021-09-09,162.6
2021-09-10,162
2021-09-13,163.94
2021-09-14,163.74
2021-09-15,165.5
2021-09-16,166
2021-09-17,165
2021-09-20,161
2021-09-21,161.78
2021-09-22,162.92
2021-09-23,163.5
2021-09-24,162.66
2021-09-27,160.5
2021-09-28,162.46
2021-09-29,162.24
2021-09-30,163
2021-10-01,162.5
2021-10-04,162.6
2021-10-05,163.38
2021-10-06,162
2021-10-07,164
2021-10-08,165
2021-10-11,165.8
2021-10-12,164.04
2021-10-13,165.56
2021-10-14,166
2021-10-15,163.2
2021-10-18,164.28
2021-10-19,165.4
2021-10-20,165.5
2021-10-21,164.1
2021-10-22,163.9
2021-10-25,164
2021-10-26,163.94
2021-10-27,161.58
2021-10-28,161.8
2021-10-29,161.46
2021-11-02,159.4
2021-11-03,160
2021-11-04,161.58
2021-11-05,161.26
2021-11-08,160.5
2021-11-09,161.34
2021-11-10,159.9
2021-11-12,161.74
2021-11-15,160.92
2021-11-16,161.9
2021-11-17,161.44
2021-11-18,161.38
2021-11-19,161.6
2021-11-22,163.48
2021-11-23,164
2021-11-24,161.14
2021-11-25,160.1
2021-11-26,158.9
2021-11-29,158.34
2021-11-30,156.9
2021-12-01,158.86
2021-12-02,158.12
2021-12-03,156.5
2021-12-06,157.14
2021-12-07,157.5
2021-12-08,158.34
2021-12-09,156.62
2021-12-10,156.26
2021-12-13,156.26
2021-12-14,154.32
2021-12-15,154.86
2021-12-16,157.4
2021-12-17,154.52
2021-12-20,155.5
2021-12-21,155.9
2021-12-22,156.9
2021-12-23,157.84
2021-12-27,157.4
2021-12-28,157.84
2021-12-29,158.54
2021-12-30,159.4
2022-01-03,161.9
2022-01-04,161.3
2022-01-05,161.3
2022-01-07,160.66
2022-01-10,160
2022-01-11,160.4
2022-01-12,161.48
2022-01-13,160.8
2022-01-14,159.2
2022-01-17,159.56
2022-01-18,159.22
2022-01-19,158.8
2022-01-20,156.7
2022-01-21,153.28
2022-01-24,145.96
2022-01-25,146.6
2022-01-26,148.04
2022-01-27,147.2
2022-01-28,143.16
2022-01-31,145.56
2022-02-01,146
2022-02-02,147.9
2022-02-03,147.54
2022-02-04,145
2022-02-07,143.96
2022-02-08,145.44
2022-02-09,146.16
2022-02-10,145
2022-02-11,144.24
2022-02-14,140.46
2022-02-15,143.06
2022-02-16,142.84
2022-02-17,141
2022-02-18,141
2022-02-21,138
2022-02-22,139.12
2022-02-23,139
2022-02-24,129
2022-02-25,134
2022-02-28,135
2022-03-01,132.8
2022-03-02,133.72
2022-03-03,132
2022-03-04,130.1
2022-03-07,129
2022-03-08,126.56
2022-03-09,130
2022-03-10,130.66
2022-03-11,135.3
2022-03-14,133.2
2022-03-15,134.44
2022-03-16,136.12
2022-03-17,137.2
2022-03-18,137.2
2022-03-21,138.94
2022-03-22,139.44
2022-03-23,140.32
2022-03-24,140.8
2022-03-25,141.5
2022-03-28,140.7
2022-03-29,140
2022-03-30,141.1
2022-03-31,140.38
2022-04-01,140.74
2022-04-04,140.76
2022-04-05,141.92
2022-04-06,140.16
2022-04-07,140
2022-04-08,138
2022-04-11,139.3
2022-04-12,138.02
2022-04-13,136
2022-04-14,135.56
2022-04-19,133
2022-04-20,133.42
2022-04-21,131.82
2022-04-22,128.18
2022-04-25,127.9
2022-04-26,126
2022-04-27,124
2022-04-28,125.94
2022-04-29,125.26
2022-05-02,123.7
2022-05-04,125.02
2022-05-05,123
2022-05-06,119.26
2022-05-09,119.3
2022-05-10,120.64
2022-05-11,120.48
2022-05-12,118
2022-05-13,119.04
2022-05-16,119.2
2022-05-17,119.92
2022-05-18,118.2
2022-05-19,117.08
2022-05-20,118
2022-05-23,118.24
2022-05-24,117.9
2022-05-25,117.14
2022-05-26,117.28
2022-05-27,116.58
2022-05-30,117.5
2022-05-31,117.32
2022-06-01,119.6
2022-06-02,118.1
2022-06-03,116.9
2022-06-06,118
2022-06-07,117.14
2022-06-08,114.8
2022-06-09,114
2022-06-10,112.8
2022-06-13,109
2022-06-14,107.62
2022-06-15,107
2022-06-17,107
2022-06-20,108.04
2022-06-21,109.44
2022-06-22,109.14
2022-06-23,111.44
2022-06-27,113.54
2022-06-29,114.62
2022-06-30,114.96
2022-07-01,115.6
2022-07-04,115.6
