Date,Close
2019-03-13,5.001
2019-03-14,4.9974
2019-03-15,5.0006
2019-03-18,5.0066
2019-03-19,5.004
2019-03-20,5.0068
2019-03-21,5.0232
2019-03-22,5.0468
2019-03-25,5.0474
2019-03-26,5.0458
2019-03-27,5.055
2019-03-28,5.055
2019-03-29,5.0532
2019-04-01,5.0414
2019-04-02,5.0388
2019-04-03,5.0294
2019-04-04,5.0286
2019-04-05,5.0328
2019-04-08,5.0334
2019-04-09,5.0386
2019-04-10,5.0432
2019-04-11,5.0386
2019-04-12,5.0306
2019-04-15,5.0274
2019-04-16,5.0176
2019-04-17,5.02
2019-04-18,5.0266
2019-04-23,5.0234
2019-04-24,5.0352
2019-04-25,5.0334
2019-04-26,5.0424
2019-04-29,5.0378
2019-04-30,5.0338
2019-05-02,5.0334
2019-05-03,5.0362
2019-05-06,5.0446
2019-05-07,5.0472
2019-05-08,5.0578
2019-05-09,5.0398
2019-05-10,5.0402
2019-05-13,5.0524
2019-05-14,5.047
2019-05-15,5.054
2019-05-16,5.0536
2019-05-17,5.0578
2019-05-20,5.0526
2019-05-21,5.0444
2019-05-22,5.0544
2019-05-23,5.0612
2019-05-24,5.067
2019-05-27,5.0642
2019-05-28,5.073
2019-05-29,5.079
2019-05-30,5.0826
2019-05-31,5.091
2019-06-03,5.1006
2019-06-04,5.1024
2019-06-05,5.1082
2019-06-06,5.115
2019-06-07,5.126
2019-06-11,5.1144
2019-06-12,5.115
2019-06-13,5.1196
2019-06-14,5.125
2019-06-17,5.124
2019-06-18,5.1416
2019-06-19,5.1332
2019-06-20,5.1762
2019-06-21,5.1454
2019-06-24,5.1476
2019-06-25,5.1562
2019-06-26,5.142
2019-06-27,5.1448
2019-06-28,5.1488
2019-07-01,5.1562
2019-07-02,5.1578
2019-07-03,5.1792
2019-07-04,5.1804
2019-07-05,5.1552
2019-07-08,5.1636
2019-07-09,5.1572
2019-07-10,5.1534
2019-07-11,5.1458
2019-07-12,5.1402
2019-07-15,5.1476
2019-07-16,5.145
2019-07-17,5.151
2019-07-18,5.1584
2019-07-19,5.1628
2019-07-22,5.1644
2019-07-23,5.167
2019-07-24,5.1748
2019-07-25,5.1672
2019-07-26,5.1688
2019-07-29,5.1706
2019-07-30,5.1696
2019-07-31,5.1808
2019-08-01,5.1884
2019-08-02,5.2012
2019-08-05,5.212
2019-08-06,5.223
2019-08-07,5.2424
2019-08-08,5.2228
2019-08-09,5.233
2019-08-12,5.2402
2019-08-13,5.2406
2019-08-14,5.261
2019-08-15,5.2814
2019-08-16,5.2698
2019-08-19,5.2618
2019-08-20,5.2696
2019-08-21,5.269
2019-08-22,5.2616
2019-08-23,5.2652
2019-08-26,5.269
2019-08-27,5.284
2019-08-28,5.2904
2019-08-29,5.2838
2019-08-30,5.2848
2019-09-02,5.2818
2019-09-03,5.2928
2019-09-04,5.2894
2019-09-05,5.2566
2019-09-06,5.266
2019-09-09,5.2502
2019-09-10,5.2354
2019-09-11,5.2306
2019-09-12,5.2296
2019-09-13,5.1964
2019-09-16,5.2036
2019-09-17,5.2104
2019-09-18,5.2226
2019-09-19,5.2244
2019-09-20,5.226
2019-09-23,5.2458
2019-09-24,5.2516
2019-09-25,5.2436
2019-09-26,5.2434
2019-09-27,5.2444
2019-10-01,5.252
2019-10-02,5.2438
2019-10-04,5.2576
2019-10-07,5.2588
2019-10-08,5.2614
